"","level","total_pp","total_reef_pp","total_not_reef_pp","total_pppb","reef_pppb","not_reef_pppb","param","fish"
"sens_vec_s51",1.1,0.07075013480069,0.318746048985652,0.0150177137998808,0.321677711856694,0.567445544594714,0.266449033826954,"popk","S"
"sens_vec_g52",0.9,-4.33017159611906,-8.47262845649944,-2.44136648998076,-3.65751473921246,-7.83310844896432,-1.75410325274619,"respint","G"
"sens_vec_s52",0.9,-1.66416172649317,-7.63588407595107,-0.322129358041801,-1.7729353966581,-7.73981235615287,-0.432065345570587,"respint","S"
"sens_vec_g53",0.95,-2.28085409061415,-4.43840415743019,-1.2970921058057,-1.65787681216271,-3.81419687068243,-0.674935306551505,"respint","G"
"sens_vec_s53",0.95,-0.807109203439693,-3.7002481892162,-0.156930588606219,-1.00309904652003,-3.88978480037692,-0.35440618750463,"respint","S"
"sens_vec_g54",1.05,1.63162864932189,3.00918908404093,1.00351270972161,2.71937636025319,4.11192625564241,2.08459346454883,"respint","G"
"sens_vec_s54",1.05,0.790034647909632,3.61872790788349,0.15433899878925,1.07157517444061,3.90916967256358,0.433914048613415,"respint","S"
"sens_vec_g55",1.1,4.2365544963131,8.09156698687512,2.47881325197052,3.83199712296094,7.68037301614564,2.07774529950875,"respint","G"
"sens_vec_s55",1.1,1.69088877537651,7.7163964559366,0.336769164574702,1.59706087789775,7.62005108458217,0.243581119397684,"respint","S"
"sens_vec_g56",0.9,5.73046113977118,10.799623433428,3.41911308068155,6.7114071952225,11.8302748775265,4.37801170191976,"respslope","G"
"sens_vec_s56",0.9,2.08061734874658,9.47563574291206,0.418725942967368,1.7794028956174,9.15546508259388,0.121862284571628,"respslope","S"
"sens_vec_g57",0.95,2.59479367074575,4.85898076117774,1.56240919896935,3.56439984287651,5.856119631731,2.51973743722143,"respslope","G"
"sens_vec_s57",0.95,1.04724076072638,4.77434562095755,0.209643988750385,0.651556953397225,4.36758841446598,-0.183505564042052,"respslope","S"
"sens_vec_g58",1.05,-2.81530909272172,-5.4476187332387,-1.61507453204388,-2.72164548742008,-5.35533605800075,-1.52109839584513,"respslope","G"
"sens_vec_s58",1.05,-0.91199028713852,-4.18627018989801,-0.176157414186529,-0.998658736438474,-4.27053860764092,-0.263405477517087,"respslope","S"
"sens_vec_g59",1.1,-5.45767520021785,-10.6807091598642,-3.07616742716944,-5.20158690969736,-10.4385015827574,-2.8143806259379,"respslope","G"
"sens_vec_s59",1.1,-1.82316149002946,-8.35794694578018,-0.354591270367632,-1.67013517232323,-8.21262523237195,-0.199913976108057,"respslope","S"
"sens_vec_g60",0.9,3.79624756722536,7.25965507201305,2.21706352254709,3.46951169493244,6.93221296088355,1.89106661096274,"resptemplo","G"
"sens_vec_s60",0.9,1.40769456885268,6.4395022339524,0.276890361420179,2.062397594774,7.12721136261631,0.924238195520943,"resptemplo","S"
"sens_vec_g61",0.95,1.48279175141173,2.75279252021396,0.903718989096247,2.241968909356,3.53393435414011,1.65303664279559,"resptemplo","G"
"sens_vec_s61",0.95,0.72074940340543,3.29910666266602,0.141312065754673,0.759496615049771,3.3395447807872,0.179711018784756,"resptemplo","S"
"sens_vec_g62",1.05,-1.78253924462975,-3.47091487149853,-1.01270322397984,-1.47522095964957,-3.16594870931767,-0.704516038888314,"resptemplo","G"
"sens_vec_s62",1.05,-0.742087426815985,-3.39296807440942,-0.14635182060605,-0.313650173490798,-2.97267409295651,0.283882767600518,"resptemplo","S"
"sens_vec_g63",1.1,-3.463739436674,-6.75847074952098,-1.96146541504724,-2.84648818043882,-6.15756023023136,-1.33716207972797,"resptemplo","G"
"sens_vec_s63",1.1,-1.24357108857145,-5.71933578353051,-0.23772708868216,-1.88302718721511,-6.329032364623,-0.883925776236616,"resptemplo","S"
"sens_vec_g64",32,11.8491280242994,22.2856557139983,7.09046246541494,12.7117536230762,23.2345285909885,7.9150295795835,"resptempopt","G"
"sens_vec_s64",32,5.04422090060337,22.9707318152713,1.0155744744905,5.42525647454566,23.4149703077793,1.38262769732007,"resptempopt","S"
"sens_vec_g65",34,5.30033448288798,9.95994372991853,3.17572726667854,6.24557672140578,10.9585435638836,4.09720792720143,"resptempopt","G"
"sens_vec_s65",34,2.41547063040526,11.0125016844895,0.483449469339314,2.03810627118113,10.6041668573704,0.11315052401335,"resptempopt","S"
"sens_vec_g66",38,-1.77425431239067,-3.45717280269702,-1.0069065415286,-1.32790727567863,-3.00849522087271,-0.561824504879249,"resptempopt","G"
"sens_vec_s66",38,-0.622883050929146,-2.85931138424267,-0.12028781334229,-0.847569135464643,-3.07920541062686,-0.346078277416362,"resptempopt","S"
"sens_vec_g67",39,2.71713207355613,5.15920211489289,1.60363964162755,2.93432722073375,5.38939262890938,1.81520500177028,"resptempopt","G"
"sens_vec_s67",39,1.19595458694661,5.44813535428017,0.240356872865632,0.886873677910605,5.12293971790339,-0.0650504401855323,"resptempopt","S"
"sens_vec_g68",37,7.95995084826151,15.1276661771146,4.6917412401015,7.44249341987235,14.5801665578934,4.18884136895039,"resptempmax","G"
"sens_vec_s68",37,3.25753895368182,14.8450863211829,0.653455453456453,2.99667616991741,14.5505705522899,0.400297686513351,"resptempmax","S"
"sens_vec_g69",38,2.63467906015622,4.9523274857393,1.57791822280309,3.20844936529747,5.5409228744703,2.14520969739844,"resptempmax","G"
"sens_vec_s69",38,1.18411808803023,5.41103405500813,0.234198163015042,1.03998897000459,5.25923409890585,0.0918448286144846,"resptempmax","S"
"sens_vec_g70",42,-0.584341139599154,-1.17561061204992,-0.314744415647727,-0.190701587438524,-0.78107262056416,0.0784143955422811,"resptempmax","G"
"sens_vec_s70",42,-0.154592554868227,-0.71095105321991,-0.029561438289516,-0.362128965125041,-0.915702273409791,-0.23773057796217,"resptempmax","S"
"sens_vec_g71",44,-0.583676217508866,-1.19512583950612,-0.304878101535588,0.295738117634148,-0.306603008209372,0.57031057304906,"resptempmax","G"
"sens_vec_s71",44,-0.137454141014137,-0.624497009546598,-0.0280004095536857,0.0923823467704254,-0.392570859132624,0.201360499728565,"resptempmax","S"
